Token,Lexema
KW_SI,si
IDENTIFICADOR,contador
ERROR_LEXICO,es_mayor
ERROR_LEXICO,Que
IDENTIFICADOR,diez
KW_INICIO,inicio
KW_MIENTRAS,mientras
KW_REPITE,repite
KW_IMPRIMIR,imprimir
IDENTIFICADOR,saludo
KW_HASTA,hasta
IDENTIFICADOR,contador
KW_FIN,fin
ERROR_LEXICO,Si
ERROR_LEXICO,SINO
ERROR_LEXICO,siNo
IDENTIFICADOR,imprimir2
ERROR_LEXICO,_privado
ERROR_LEXICO,123abc
IDENTIFICADOR,variable1
ERROR_LEXICO,var_2
KW_FIN,fin
ERROR_LEXICO,inicio_mal
KW_INICIO,inicio
ERROR_LEXICO,fin!
IDENTIFICADOR,mientras123
IDENTIFICADOR,while
KW_IMPRIMIR,imprimir
KW_IMPRIMIR,imprimir
KW_FIN,fin
KW_REPITE,repite
KW_HASTA,hasta
KW_REPITE,repite
KW_HASTA,hasta
